"Time","total","emqx-0","emqx-1"
2023-06-27 18:34:00,5,5,0
2023-06-27 18:34:15,5,5,0
2023-06-27 18:34:30,7,7,0
2023-06-27 18:34:45,9,9,0
2023-06-27 18:35:00,11,9,2
2023-06-27 18:35:15,13,10,3
2023-06-27 18:35:30,16,11,5
2023-06-27 18:35:45,17,12,5
2023-06-27 18:36:00,20,13,7
2023-06-27 18:36:15,21,14,7
2023-06-27 18:36:30,24,15,9
2023-06-27 18:36:45,25,16,9
2023-06-27 18:37:00,28,19,9
2023-06-27 18:37:15,29,19,10
2023-06-27 18:37:30,30,19,11
2023-06-27 18:37:45,34,20,14
2023-06-27 18:38:00,37,22,15
2023-06-27 18:38:15,37,22,15
2023-06-27 18:38:30,40,25,15
2023-06-27 18:38:45,42,26,16
2023-06-27 18:39:00,44,27,17
2023-06-27 18:39:15,46,29,17
2023-06-27 18:39:30,49,30,19
2023-06-27 18:39:45,50,30,20
2023-06-27 18:40:00,53,31,22
2023-06-27 18:40:15,53,31,22
2023-06-27 18:40:30,57,34,23
2023-06-27 18:40:45,58,35,23
2023-06-27 18:41:00,61,38,23
2023-06-27 18:41:15,62,39,23
2023-06-27 18:41:30,63,39,24
2023-06-27 18:41:45,64,39,25
2023-06-27 18:42:00,64,39,25
2023-06-27 18:42:15,67,40,27
2023-06-27 18:42:30,67,40,27
2023-06-27 18:42:45,67,40,27
2023-06-27 18:43:00,69,41,28
2023-06-27 18:43:15,69,41,28
2023-06-27 18:43:30,69,41,28
2023-06-27 18:43:45,70,41,29
2023-06-27 18:44:00,71,42,29
2023-06-27 18:44:15,71,42,29
2023-06-27 18:44:30,72,43,29
2023-06-27 18:44:45,72,43,29
2023-06-27 18:45:00,73,44,29
2023-06-27 18:45:15,73,44,29
2023-06-27 18:45:30,73,44,29
2023-06-27 18:45:45,74,45,29
2023-06-27 18:46:00,74,45,29
2023-06-27 18:46:15,74,45,29
2023-06-27 18:46:30,74,45,29
2023-06-27 18:46:45,75,46,29
2023-06-27 18:47:00,75,46,29
2023-06-27 18:47:15,75,46,29
2023-06-27 18:47:30,75,46,29
2023-06-27 18:47:45,75,46,29
2023-06-27 18:48:00,75,46,29
2023-06-27 18:48:15,75,46,29
2023-06-27 18:48:30,75,46,29
2023-06-27 18:48:45,75,46,29
2023-06-27 18:49:00,75,46,29
2023-06-27 18:49:15,75,46,29
2023-06-27 18:49:30,75,46,29
2023-06-27 18:49:45,75,46,29
2023-06-27 18:50:00,75,46,29
2023-06-27 18:50:15,75,46,29
2023-06-27 18:50:30,75,46,29
2023-06-27 18:50:45,75,46,29
2023-06-27 18:51:00,75,46,29
2023-06-27 18:51:15,75,46,29
2023-06-27 18:51:30,75,46,29
2023-06-27 18:51:45,75,46,29
2023-06-27 18:52:00,75,46,29
2023-06-27 18:52:15,75,46,29
2023-06-27 18:52:30,75,46,29
2023-06-27 18:52:45,75,46,29
2023-06-27 18:53:00,75,46,29
2023-06-27 18:53:15,75,46,29
2023-06-27 18:53:30,75,46,29
2023-06-27 18:53:45,75,46,29
2023-06-27 18:54:00,75,46,29
2023-06-27 18:54:15,75,46,29
2023-06-27 18:54:30,75,46,29
2023-06-27 18:54:45,75,46,29
2023-06-27 18:55:00,75,46,29
2023-06-27 18:55:15,75,46,29
2023-06-27 18:55:30,75,46,29
2023-06-27 18:55:45,75,46,29
2023-06-27 18:56:00,75,46,29
2023-06-27 18:56:15,75,46,29
2023-06-27 18:56:30,75,46,29
2023-06-27 18:56:45,75,46,29
2023-06-27 18:57:00,75,46,29
2023-06-27 18:57:15,75,46,29
2023-06-27 18:57:30,75,46,29
2023-06-27 18:57:45,75,46,29
2023-06-27 18:58:00,75,46,29
2023-06-27 18:58:15,75,46,29
2023-06-27 18:58:30,75,46,29
2023-06-27 18:58:45,75,46,29
2023-06-27 18:59:00,75,46,29
2023-06-27 18:59:15,75,46,29
2023-06-27 18:59:30,75,46,29
2023-06-27 18:59:45,75,46,29
2023-06-27 19:00:00,75,46,29
2023-06-27 19:00:15,75,46,29
2023-06-27 19:00:30,75,46,29
2023-06-27 19:00:45,75,46,29
2023-06-27 19:01:00,75,46,29
2023-06-27 19:01:15,75,46,29
2023-06-27 19:01:30,75,46,29
2023-06-27 19:01:45,75,46,29
2023-06-27 19:02:00,75,46,29
2023-06-27 19:02:15,75,46,29
2023-06-27 19:02:30,75,46,29
2023-06-27 19:02:45,75,46,29
2023-06-27 19:03:00,75,46,29
2023-06-27 19:03:15,75,46,29
2023-06-27 19:03:30,75,46,29
2023-06-27 19:03:45,75,46,29
2023-06-27 19:04:00,75,46,29
2023-06-27 19:04:15,75,46,29
2023-06-27 19:04:30,75,46,29
2023-06-27 19:04:45,75,46,29
2023-06-27 19:05:00,75,46,29
2023-06-27 19:05:15,75,46,29
2023-06-27 19:05:30,75,46,29
2023-06-27 19:05:45,75,46,29
2023-06-27 19:06:00,75,46,29
2023-06-27 19:06:15,75,46,29
2023-06-27 19:06:30,75,46,29
2023-06-27 19:06:45,75,46,29
2023-06-27 19:07:00,75,46,29
2023-06-27 19:07:15,75,46,29
2023-06-27 19:07:30,75,46,29
2023-06-27 19:07:45,75,46,29
2023-06-27 19:08:00,75,46,29
2023-06-27 19:08:15,75,46,29
2023-06-27 19:08:30,75,46,29
2023-06-27 19:08:45,75,46,29
2023-06-27 19:09:00,75,46,29
2023-06-27 19:09:15,75,46,29
2023-06-27 19:09:30,75,46,29
2023-06-27 19:09:45,75,46,29
2023-06-27 19:10:00,75,46,29
2023-06-27 19:10:15,75,46,29
2023-06-27 19:10:30,75,46,29
2023-06-27 19:10:45,75,46,29
2023-06-27 19:11:00,75,46,29
2023-06-27 19:11:15,75,46,29

