"Time","total","emqx-0","emqx-1"
2023-07-17 15:39:45,10,6,4
2023-07-17 15:40:00,12,8,4
2023-07-17 15:40:15,14,8,6
2023-07-17 15:40:30,16,10,6
2023-07-17 15:40:45,19,10,9
2023-07-17 15:41:00,21,12,9
2023-07-17 15:41:15,23,13,10
2023-07-17 15:41:30,24,14,10
2023-07-17 15:41:45,27,15,12
2023-07-17 15:42:00,29,17,12
2023-07-17 15:42:15,30,17,13
2023-07-17 15:42:30,34,20,14
2023-07-17 15:42:45,35,20,15
2023-07-17 15:43:00,37,21,16
2023-07-17 15:43:15,39,21,18
2023-07-17 15:43:30,42,22,20
2023-07-17 15:43:45,43,22,21
2023-07-17 15:44:00,46,24,22
2023-07-17 15:44:15,48,24,24
2023-07-17 15:44:30,49,25,24
2023-07-17 15:44:45,53,27,26
2023-07-17 15:45:00,53,27,26
2023-07-17 15:45:15,57,28,29
2023-07-17 15:45:30,58,29,29
2023-07-17 15:45:45,60,29,31
2023-07-17 15:46:00,61,30,31
2023-07-17 15:46:15,65,32,33
2023-07-17 15:46:30,66,33,33
2023-07-17 15:46:45,68,33,35
2023-07-17 15:47:00,70,35,35
2023-07-17 15:47:15,72,37,35
2023-07-17 15:47:30,74,39,35
2023-07-17 15:47:45,76,39,37
2023-07-17 15:48:00,79,41,38
2023-07-17 15:48:15,81,41,40
2023-07-17 15:48:30,82,42,40
2023-07-17 15:48:45,84,42,42
2023-07-17 15:49:00,86,43,43
2023-07-17 15:49:15,90,45,45
2023-07-17 15:49:30,90,45,45
2023-07-17 15:49:45,92,45,47
2023-07-17 15:50:00,95,47,48
2023-07-17 15:50:15,98,48,50
2023-07-17 15:50:30,98,48,50
2023-07-17 15:50:45,101,48,53
2023-07-17 15:51:00,103,49,54
2023-07-17 15:51:15,104,49,55
2023-07-17 15:51:30,107,50,57
2023-07-17 15:51:45,109,51,58
2023-07-17 15:52:00,111,53,58
2023-07-17 15:52:15,113,54,59
2023-07-17 15:52:30,114,54,60
2023-07-17 15:52:45,117,55,62
2023-07-17 15:53:00,119,57,62
2023-07-17 15:53:15,121,58,63
2023-07-17 15:53:30,123,60,63
2023-07-17 15:53:45,125,61,64
2023-07-17 15:54:00,125,61,64
2023-07-17 15:54:15,126,61,65
2023-07-17 15:54:30,123,57,66
2023-07-17 15:54:45,68,,68
2023-07-17 15:55:00,122,52,70
2023-07-17 15:55:15,125,51,74
2023-07-17 15:55:30,126,54,72
2023-07-17 15:55:45,57,57,
2023-07-17 15:56:00,75,,75
2023-07-17 15:56:15,132,60,72
2023-07-17 15:56:30,132,62,70
2023-07-17 15:56:45,134,63,71
2023-07-17 15:57:00,132,61,71
2023-07-17 15:57:15,69,,69
2023-07-17 15:57:30,132,59,73
2023-07-17 15:57:45,133,58,75
2023-07-17 15:58:00,137,60,77
2023-07-17 15:58:15,138,61,77
2023-07-17 15:58:30,78,,78
2023-07-17 15:58:45,137,58,79
2023-07-17 15:59:00,140,59,81
2023-07-17 15:59:15,138,59,79
2023-07-17 15:59:30,141,60,81
2023-07-17 15:59:45,83,,83
2023-07-17 16:00:00,142,57,85
2023-07-17 16:00:15,144,58,86
2023-07-17 16:00:30,144,59,85
2023-07-17 16:00:45,145,60,85
2023-07-17 16:01:00,145,60,85
2023-07-17 16:01:15,145,60,85
2023-07-17 16:01:30,146,61,85
2023-07-17 16:01:45,146,61,85
2023-07-17 16:02:00,146,61,85
2023-07-17 16:02:15,146,61,85
2023-07-17 16:02:30,147,62,85
2023-07-17 16:02:45,147,62,85
2023-07-17 16:03:00,147,62,85
2023-07-17 16:03:15,147,62,85
2023-07-17 16:03:30,148,63,85
2023-07-17 16:03:45,148,63,85
2023-07-17 16:04:00,148,63,85
2023-07-17 16:04:15,148,63,85
2023-07-17 16:04:30,149,64,85
2023-07-17 16:04:45,149,64,85
2023-07-17 16:05:00,149,64,85
2023-07-17 16:05:15,150,64,86
2023-07-17 16:05:30,150,64,86
2023-07-17 16:05:45,150,64,86
2023-07-17 16:06:00,150,64,86
2023-07-17 16:06:15,150,64,86
2023-07-17 16:06:30,150,64,86
2023-07-17 16:06:45,150,64,86
2023-07-17 16:07:00,150,64,86
2023-07-17 16:07:15,150,64,86
2023-07-17 16:07:30,150,64,86
2023-07-17 16:07:45,150,64,86
2023-07-17 16:08:00,150,64,86
2023-07-17 16:08:15,150,64,86
2023-07-17 16:08:30,150,64,86
2023-07-17 16:08:45,150,64,86
2023-07-17 16:09:00,150,64,86
2023-07-17 16:09:15,150,64,86
2023-07-17 16:09:30,150,64,86
2023-07-17 16:09:45,150,64,86
2023-07-17 16:10:00,150,64,86
2023-07-17 16:10:15,150,64,86
2023-07-17 16:10:30,150,64,86
2023-07-17 16:10:45,150,64,86
2023-07-17 16:11:00,150,64,86
2023-07-17 16:11:15,150,64,86
2023-07-17 16:11:30,150,64,86
2023-07-17 16:11:45,150,64,86
2023-07-17 16:12:00,150,64,86
2023-07-17 16:12:15,150,64,86
2023-07-17 16:12:30,150,64,86
2023-07-17 16:12:45,150,64,86
2023-07-17 16:13:00,150,64,86
2023-07-17 16:13:15,150,64,86
2023-07-17 16:13:30,150,64,86
2023-07-17 16:13:45,150,64,86
2023-07-17 16:14:00,150,64,86
2023-07-17 16:14:15,150,64,86
2023-07-17 16:14:30,150,64,86
2023-07-17 16:14:45,150,64,86
2023-07-17 16:15:00,150,64,86
2023-07-17 16:15:15,150,64,86
2023-07-17 16:15:30,150,64,86
2023-07-17 16:15:45,150,64,86
2023-07-17 16:16:00,150,64,86
2023-07-17 16:16:15,150,64,86
2023-07-17 16:16:30,150,64,86
2023-07-17 16:16:45,150,64,86
2023-07-17 16:17:00,150,64,86
2023-07-17 16:17:15,150,64,86
2023-07-17 16:17:30,150,64,86
2023-07-17 16:17:45,150,64,86
2023-07-17 16:18:00,150,64,86
2023-07-17 16:18:15,150,64,86
2023-07-17 16:18:30,150,64,86
2023-07-17 16:18:45,150,64,86
2023-07-17 16:19:00,150,64,86
2023-07-17 16:19:15,150,64,86
2023-07-17 16:19:30,150,64,86
2023-07-17 16:19:45,150,64,86
2023-07-17 16:20:00,150,64,86
2023-07-17 16:20:15,150,64,86
2023-07-17 16:20:30,150,64,86
2023-07-17 16:20:45,150,64,86
2023-07-17 16:21:00,150,64,86
2023-07-17 16:21:15,150,64,86
2023-07-17 16:21:30,150,64,86
2023-07-17 16:21:45,150,64,86
2023-07-17 16:22:00,150,64,86
2023-07-17 16:22:15,150,64,86
2023-07-17 16:22:30,150,64,86
2023-07-17 16:22:45,150,64,86
2023-07-17 16:23:00,150,64,86
2023-07-17 16:23:15,150,64,86
2023-07-17 16:23:30,150,64,86
2023-07-17 16:23:45,150,64,86
2023-07-17 16:24:00,150,64,86
2023-07-17 16:24:15,150,64,86
2023-07-17 16:24:30,150,64,86
2023-07-17 16:24:45,150,64,86
2023-07-17 16:25:00,150,64,86
2023-07-17 16:25:15,150,64,86
2023-07-17 16:25:30,150,64,86
2023-07-17 16:25:45,150,64,86
2023-07-17 16:26:00,150,64,86
2023-07-17 16:26:15,150,64,86
2023-07-17 16:26:30,150,64,86
2023-07-17 16:26:45,150,64,86
2023-07-17 16:27:00,150,64,86
2023-07-17 16:27:15,150,64,86

