"Time","emqx-1","emqx-0","emqx-2","Total"
2023-06-26 16:13:30,0,0,0,0
2023-06-26 16:13:45,0,0,0,0
2023-06-26 16:14:00,0,0,0,0
2023-06-26 16:14:15,0,0,0,0
2023-06-26 16:14:30,1116,3527,0,4643
2023-06-26 16:14:45,2938,6728,0,9666
2023-06-26 16:15:00,10955,13342,568,24865
2023-06-26 16:15:15,18312,16647,1443,36402
2023-06-26 16:15:30,36108,24388,4727,65223
2023-06-26 16:15:45,45761,29448,8603,83812
2023-06-26 16:16:00,65579,43271,17128,125978
2023-06-26 16:16:15,76074,51942,23429,151445
2023-06-26 16:16:30,98776,70383,38252,207411
2023-06-26 16:16:45,111766,80188,46803,238757
2023-06-26 16:17:00,140383,101927,67202,309512
2023-06-26 16:17:15,155372,113993,78083,347448
2023-06-26 16:17:30,185437,141672,105141,432250
2023-06-26 16:17:45,200469,157082,119905,477456
2023-06-26 16:18:00,234308,189521,151340,575169
2023-06-26 16:18:15,252267,206864,168124,627255
2023-06-26 16:18:30,289455,242579,206772,738806
2023-06-26 16:18:45,308440,260487,228644,797571
2023-06-26 16:19:00,348618,297573,276301,922492
2023-06-26 16:19:15,370526,316773,301451,988750
2023-06-26 16:19:30,416587,356375,351728,1124690
2023-06-26 16:19:45,442390,376459,376912,1195761
2023-06-26 16:20:00,494919,416664,427620,1339203
2023-06-26 16:20:15,521197,436762,453161,1411120
2023-06-26 16:20:30,573774,476961,505804,1556539
2023-06-26 16:20:45,600063,497053,532590,1629706
2023-06-26 16:21:00,653178,537247,586434,1776859
2023-06-26 16:21:15,680493,557350,613356,1851199
2023-06-26 16:21:30,735727,597581,667189,2000497
2023-06-26 16:21:45,763353,617873,694095,2075321
2023-06-26 16:22:00,818553,658467,747953,2224973
2023-06-26 16:22:15,846181,678770,774879,2299830
2023-06-26 16:22:30,901433,719358,828665,2449456
2023-06-26 16:22:45,929211,739638,855575,2524424
2023-06-26 16:23:00,984432,780209,909356,2673997
2023-06-26 16:23:15,1012005,800466,936260,2748731
2023-06-26 16:23:30,1067192,841015,990056,2898263
2023-06-26 16:23:45,1094701,861302,1016959,2972962
2023-06-26 16:24:00,1149501,901890,1070786,3122177
2023-06-26 16:24:15,1176907,922158,1097663,3196728
2023-06-26 16:24:30,1231716,962679,1151489,3345884
2023-06-26 16:24:45,1259087,982763,1178375,3420225
2023-06-26 16:25:00,1313903,1022935,1232163,3569001
2023-06-26 16:25:15,1341298,1043007,1259054,3643359
2023-06-26 16:25:30,1396064,1082980,1312827,3791871
2023-06-26 16:25:45,1423422,1102867,1339703,3865992
2023-06-26 16:26:00,1478219,1142639,1393499,4014357
2023-06-26 16:26:15,1505623,1162518,1420404,4088545
2023-06-26 16:26:30,1560455,1201981,1474200,4236636
2023-06-26 16:26:45,1587856,1221674,1501108,4310638
2023-06-26 16:27:00,1642678,1261081,1554935,4458694
2023-06-26 16:27:15,1670077,1280680,1581815,4532572
2023-06-26 16:27:30,1724888,1319678,1635668,4680234
2023-06-26 16:27:45,1752303,1339159,1662560,4754022
2023-06-26 16:28:00,1807111,1378140,1716412,4901663
2023-06-26 16:28:15,1834509,1397630,1743204,4975343
2023-06-26 16:28:30,1889281,1436596,1796621,5122498
2023-06-26 16:28:45,1916665,1456086,1823327,5196078
2023-06-26 16:29:00,1971480,1495055,1876682,5343217
2023-06-26 16:29:15,1998884,1514541,1903206,5416631
2023-06-26 16:29:30,2053665,1553505,1956207,5563377
2023-06-26 16:29:45,2081069,1572994,1982677,5636740
2023-06-26 16:30:00,2135827,1611764,2035696,5783287
2023-06-26 16:30:15,2163212,1631042,2062184,5856438
2023-06-26 16:30:30,2218015,1669639,2115198,6002852
2023-06-26 16:30:45,2245423,1688934,2141724,6076081
2023-06-26 16:31:00,2299884,1727543,2194741,6222168
2023-06-26 16:31:15,2326323,1746798,2221241,6294362
2023-06-26 16:31:30,2376748,1781866,2274162,6432776
2023-06-26 16:31:45,2400397,1799166,2300213,6499776
2023-06-26 16:32:00,2442465,1833657,2351138,6627260
2023-06-26 16:32:15,2462096,1850101,2375969,6688166
2023-06-26 16:32:30,2500592,1880599,2423714,6804905
2023-06-26 16:32:45,2519454,1894645,2445800,6859899
2023-06-26 16:33:00,2555968,1921204,2488327,6965499
2023-06-26 16:33:15,2573250,1933968,2507277,7014495
2023-06-26 16:33:30,2605815,1958103,2544339,7108257
2023-06-26 16:33:45,2621468,1969070,2560915,7151453
2023-06-26 16:34:00,2652004,1989082,2591951,7233037
2023-06-26 16:34:15,2667240,1997972,2605625,7270837
2023-06-26 16:34:30,2697561,2014161,2628667,7340389
2023-06-26 16:34:45,2712045,2021641,2639119,7372805
2023-06-26 16:35:00,2736448,2036306,2657864,7430618
2023-06-26 16:35:15,2747968,2043613,2665651,7457232
2023-06-26 16:35:30,2770377,2057974,2674968,7503319
2023-06-26 16:35:45,2781102,2064604,2678095,7523801
2023-06-26 16:36:00,2798916,2076679,2683434,7559029
2023-06-26 16:36:15,2806484,2082134,2686098,7574716
2023-06-26 16:36:30,2819383,2092793,2691425,7603601
2023-06-26 16:36:45,2824702,2098117,2694087,7616906
2023-06-26 16:37:00,2835383,2108784,2699417,7643584
2023-06-26 16:37:15,2840700,2114115,2702085,7656900
2023-06-26 16:37:30,2851366,2124781,2707415,7683562
2023-06-26 16:37:45,2856690,2130108,2710075,7696873
2023-06-26 16:38:00,2867364,2140757,2715404,7723525
2023-06-26 16:38:15,2872670,2146091,2718066,7736827
2023-06-26 16:38:30,2883340,2156735,2723400,7763475
2023-06-26 16:38:45,2888651,2162066,2726064,7776781
2023-06-26 16:39:00,2899316,2172731,2731400,7803447
2023-06-26 16:39:15,2904649,2178054,2734063,7816766
2023-06-26 16:39:30,2915316,2187879,2739389,7842584
2023-06-26 16:39:45,2920640,2192015,2742050,7854705
2023-06-26 16:40:00,2931283,2200017,2747389,7878689
2023-06-26 16:40:15,2936217,2204014,2750048,7890279
2023-06-26 16:40:30,2944633,2212017,2755375,7912025
2023-06-26 16:40:45,2948632,2215993,2758033,7922658
2023-06-26 16:41:00,2956619,2222774,2763367,7942760
2023-06-26 16:41:15,2960616,2225456,2766032,7952104
2023-06-26 16:41:30,2968569,2230784,2771366,7970719
2023-06-26 16:41:45,2972113,2233450,2774032,7979595
2023-06-26 16:42:00,2977800,2238783,2779364,7995947
2023-06-26 16:42:15,2980461,2241436,2782026,8003923
2023-06-26 16:42:30,2985791,2245463,2787354,8018608
2023-06-26 16:42:45,2988455,2246816,2790017,8025288
2023-06-26 16:43:00,2993783,2249285,2795346,8038414
2023-06-26 16:43:15,2996449,2249892,2798016,8044357
2023-06-26 16:43:30,3001783,2250000,2803341,8055124
2023-06-26 16:43:45,3004436,2250000,2805978,8060414
2023-06-26 16:44:00,3009769,2250000,2809862,8069631
2023-06-26 16:44:15,3012432,2250000,2811201,8073633
2023-06-26 16:44:30,3017500,2250000,2813866,8081366
2023-06-26 16:44:45,3019366,2250000,2815200,8084566
2023-06-26 16:45:00,3022100,2250000,2817866,8089966
2023-06-26 16:45:15,3023432,2250000,2819088,8092520
2023-06-26 16:45:30,3026100,2250000,2820000,8096100
2023-06-26 16:45:45,3027432,2250000,2820000,8097432
2023-06-26 16:46:00,3029632,2250000,2820000,8099632
2023-06-26 16:46:15,3029992,2250000,2820000,8099992
2023-06-26 16:46:30,3030000,2250000,2820000,8100000
2023-06-26 16:46:45,3030000,2250000,2820000,8100000
2023-06-26 16:47:00,3030000,2250000,2820000,8100000

