"Time","emqx-3","emqx-1","emqx-0","emqx-2","Used Memory"
2023-07-15 22:27:30,2.80 GB,3.00 GB,1.53 GB,2.75 GB,10.1 GB
2023-07-15 22:27:45,2.80 GB,3.01 GB,1.54 GB,2.75 GB,10.1 GB
2023-07-15 22:28:00,2.80 GB,3.01 GB,1.53 GB,2.76 GB,10.1 GB
2023-07-15 22:28:15,2.80 GB,3.02 GB,1.54 GB,2.76 GB,10.1 GB
2023-07-15 22:28:30,2.81 GB,3.04 GB,1.56 GB,2.78 GB,10.2 GB
2023-07-15 22:28:45,2.82 GB,3.05 GB,1.56 GB,2.78 GB,10.2 GB
2023-07-15 22:29:00,2.83 GB,3.06 GB,1.57 GB,2.81 GB,10.3 GB
2023-07-15 22:29:15,2.84 GB,3.07 GB,1.58 GB,2.81 GB,10.3 GB
2023-07-15 22:29:30,2.85 GB,3.08 GB,1.61 GB,2.82 GB,10.4 GB
2023-07-15 22:29:45,2.85 GB,3.10 GB,1.61 GB,2.82 GB,10.4 GB
2023-07-15 22:30:00,2.86 GB,3.10 GB,1.63 GB,2.86 GB,10.5 GB
2023-07-15 22:30:15,2.88 GB,3.13 GB,1.64 GB,2.86 GB,10.5 GB
2023-07-15 22:30:30,2.89 GB,3.15 GB,1.66 GB,2.87 GB,10.6 GB
2023-07-15 22:30:45,2.90 GB,3.16 GB,1.67 GB,2.88 GB,10.6 GB
2023-07-15 22:31:00,2.91 GB,3.17 GB,1.68 GB,2.89 GB,10.7 GB
2023-07-15 22:31:15,2.93 GB,3.18 GB,1.68 GB,2.90 GB,10.7 GB
2023-07-15 22:31:30,2.93 GB,3.18 GB,1.70 GB,2.90 GB,10.7 GB
2023-07-15 22:31:45,2.93 GB,3.18 GB,1.72 GB,2.90 GB,10.7 GB
2023-07-15 22:32:00,2.94 GB,3.22 GB,1.73 GB,2.91 GB,10.8 GB
2023-07-15 22:32:15,2.95 GB,3.22 GB,1.73 GB,2.91 GB,10.8 GB
2023-07-15 22:32:30,2.96 GB,3.23 GB,1.73 GB,2.94 GB,10.9 GB
2023-07-15 22:32:45,2.97 GB,3.24 GB,1.74 GB,2.95 GB,10.9 GB
2023-07-15 22:33:00,2.98 GB,3.25 GB,1.75 GB,2.96 GB,10.9 GB
2023-07-15 22:33:15,2.99 GB,3.25 GB,1.76 GB,2.97 GB,11.0 GB
2023-07-15 22:33:30,3.00 GB,3.24 GB,1.75 GB,2.97 GB,11.0 GB
2023-07-15 22:33:45,3.01 GB,3.23 GB,1.75 GB,2.97 GB,11.0 GB
2023-07-15 22:34:00,3.01 GB,3.24 GB,1.76 GB,2.98 GB,11.0 GB
2023-07-15 22:34:15,3.01 GB,3.27 GB,1.78 GB,3.01 GB,11.1 GB
2023-07-15 22:34:30,3.02 GB,3.28 GB,1.80 GB,3.01 GB,11.1 GB
2023-07-15 22:34:45,3.03 GB,3.28 GB,1.80 GB,3.02 GB,11.1 GB
2023-07-15 22:35:00,3.05 GB,3.28 GB,1.81 GB,3.03 GB,11.2 GB
2023-07-15 22:35:15,3.07 GB,3.28 GB,1.82 GB,3.04 GB,11.2 GB
2023-07-15 22:35:30,3.08 GB,3.29 GB,1.83 GB,3.04 GB,11.2 GB
2023-07-15 22:35:45,3.08 GB,3.30 GB,1.84 GB,3.05 GB,11.3 GB
2023-07-15 22:36:00,3.10 GB,3.32 GB,1.85 GB,3.06 GB,11.3 GB
2023-07-15 22:36:15,3.10 GB,3.32 GB,1.85 GB,3.07 GB,11.3 GB
2023-07-15 22:36:30,3.11 GB,3.33 GB,1.85 GB,3.07 GB,11.4 GB
2023-07-15 22:36:45,3.12 GB,3.34 GB,1.86 GB,3.07 GB,11.4 GB
2023-07-15 22:37:00,3.13 GB,3.35 GB,1.87 GB,3.09 GB,11.4 GB
2023-07-15 22:37:15,3.13 GB,3.35 GB,1.88 GB,3.09 GB,11.5 GB
2023-07-15 22:37:30,3.14 GB,3.36 GB,1.90 GB,3.09 GB,11.5 GB
2023-07-15 22:37:45,3.16 GB,3.39 GB,1.90 GB,3.10 GB,11.6 GB
2023-07-15 22:38:00,3.16 GB,3.40 GB,1.92 GB,3.16 GB,11.6 GB
2023-07-15 22:38:15,3.17 GB,3.40 GB,1.94 GB,3.19 GB,11.7 GB
2023-07-15 22:38:30,3.16 GB,3.39 GB,1.92 GB,3.22 GB,11.7 GB
2023-07-15 22:38:45,3.16 GB,3.40 GB,1.93 GB,3.24 GB,11.7 GB
2023-07-15 22:39:00,3.20 GB,3.39 GB,1.94 GB,3.24 GB,11.8 GB
2023-07-15 22:39:15,3.10 GB,3.38 GB,1.86 GB,3.13 GB,11.5 GB
2023-07-15 22:39:30,3.17 GB,3.40 GB,1.91 GB,3.09 GB,11.6 GB
2023-07-15 22:39:45,3.19 GB,3.44 GB,1.93 GB,3.12 GB,11.7 GB
2023-07-15 22:40:00,3.22 GB,3.45 GB,1.97 GB,3.17 GB,11.8 GB
2023-07-15 22:40:15,3.24 GB,3.50 GB,1.99 GB,3.17 GB,11.9 GB
2023-07-15 22:40:30,3.25 GB,3.50 GB,2.06 GB,3.20 GB,12.0 GB
2023-07-15 22:40:45,3.26 GB,3.49 GB,2.07 GB,3.20 GB,12.0 GB
2023-07-15 22:41:00,3.29 GB,3.50 GB,2.08 GB,3.20 GB,12.1 GB
2023-07-15 22:41:15,3.32 GB,3.55 GB,2.10 GB,3.25 GB,12.2 GB
2023-07-15 22:41:30,3.33 GB,3.55 GB,2.11 GB,3.29 GB,12.3 GB
2023-07-15 22:41:45,3.36 GB,3.61 GB,2.15 GB,3.31 GB,12.4 GB
2023-07-15 22:42:00,3.37 GB,3.62 GB,2.14 GB,3.34 GB,12.5 GB
2023-07-15 22:42:15,3.39 GB,3.64 GB,2.17 GB,3.36 GB,12.6 GB
2023-07-15 22:42:30,3.38 GB,3.63 GB,2.16 GB,3.40 GB,12.6 GB
2023-07-15 22:42:45,3.39 GB,3.64 GB,2.17 GB,3.40 GB,12.6 GB
2023-07-15 22:43:00,3.40 GB,3.66 GB,2.18 GB,3.39 GB,12.6 GB
2023-07-15 22:43:15,3.39 GB,3.65 GB,2.17 GB,3.40 GB,12.6 GB
2023-07-15 22:43:30,3.44 GB,3.65 GB,2.16 GB,3.44 GB,12.7 GB
2023-07-15 22:43:45,3.45 GB,3.66 GB,2.18 GB,3.45 GB,12.7 GB
2023-07-15 22:44:00,3.45 GB,3.69 GB,2.19 GB,3.46 GB,12.8 GB
2023-07-15 22:44:15,3.46 GB,3.70 GB,2.20 GB,3.45 GB,12.8 GB
2023-07-15 22:44:30,3.49 GB,3.69 GB,2.23 GB,3.48 GB,12.9 GB
2023-07-15 22:44:45,3.48 GB,3.70 GB,2.23 GB,3.46 GB,12.9 GB
2023-07-15 22:45:00,3.47 GB,3.70 GB,2.25 GB,3.46 GB,12.9 GB
2023-07-15 22:45:15,3.48 GB,3.71 GB,2.25 GB,3.47 GB,12.9 GB
2023-07-15 22:45:30,3.49 GB,3.73 GB,2.27 GB,3.46 GB,12.9 GB
2023-07-15 22:45:45,3.49 GB,3.73 GB,2.25 GB,3.46 GB,12.9 GB
2023-07-15 22:46:00,3.50 GB,3.72 GB,2.26 GB,3.46 GB,13.0 GB
2023-07-15 22:46:15,3.50 GB,3.73 GB,2.27 GB,3.46 GB,13.0 GB
2023-07-15 22:46:30,3.49 GB,3.75 GB,2.27 GB,3.48 GB,13.0 GB
2023-07-15 22:46:45,3.49 GB,3.73 GB,2.28 GB,3.51 GB,13.0 GB
2023-07-15 22:47:00,3.47 GB,3.76 GB,2.26 GB,3.49 GB,13.0 GB
2023-07-15 22:47:15,3.47 GB,3.73 GB,2.28 GB,3.49 GB,13.0 GB
2023-07-15 22:47:30,3.46 GB,3.73 GB,2.26 GB,3.47 GB,12.9 GB
2023-07-15 22:47:45,3.46 GB,3.71 GB,2.25 GB,3.46 GB,12.9 GB
2023-07-15 22:48:00,3.45 GB,3.70 GB,2.24 GB,3.46 GB,12.9 GB
2023-07-15 22:48:15,3.46 GB,3.71 GB,2.24 GB,3.47 GB,12.9 GB
2023-07-15 22:48:30,3.45 GB,3.70 GB,2.25 GB,3.47 GB,12.9 GB
2023-07-15 22:48:45,3.46 GB,3.71 GB,2.24 GB,3.46 GB,12.9 GB
2023-07-15 22:49:00,3.47 GB,3.71 GB,2.24 GB,3.45 GB,12.9 GB
2023-07-15 22:49:15,3.46 GB,3.70 GB,2.24 GB,3.45 GB,12.8 GB
2023-07-15 22:49:30,3.45 GB,3.70 GB,2.24 GB,3.45 GB,12.8 GB
2023-07-15 22:49:45,3.46 GB,3.69 GB,2.23 GB,3.45 GB,12.8 GB
2023-07-15 22:50:00,3.46 GB,3.69 GB,2.24 GB,3.44 GB,12.8 GB
2023-07-15 22:50:15,3.45 GB,3.70 GB,2.24 GB,3.43 GB,12.8 GB
2023-07-15 22:50:30,3.46 GB,3.69 GB,2.22 GB,3.44 GB,12.8 GB
2023-07-15 22:50:45,3.46 GB,3.70 GB,2.23 GB,3.43 GB,12.8 GB
2023-07-15 22:51:00,3.46 GB,3.70 GB,2.23 GB,3.43 GB,12.8 GB
2023-07-15 22:51:15,3.45 GB,3.70 GB,2.24 GB,3.43 GB,12.8 GB
2023-07-15 22:51:30,3.45 GB,3.70 GB,2.24 GB,3.43 GB,12.8 GB
2023-07-15 22:51:45,3.45 GB,3.69 GB,2.24 GB,3.43 GB,12.8 GB
2023-07-15 22:52:00,3.46 GB,3.71 GB,2.22 GB,3.43 GB,12.8 GB
2023-07-15 22:52:15,3.46 GB,3.70 GB,2.22 GB,3.43 GB,12.8 GB
2023-07-15 22:52:30,3.45 GB,3.71 GB,2.22 GB,3.43 GB,12.8 GB
2023-07-15 22:52:45,3.45 GB,3.70 GB,2.21 GB,3.44 GB,12.8 GB
2023-07-15 22:53:00,3.45 GB,3.70 GB,2.22 GB,3.42 GB,12.8 GB
2023-07-15 22:53:15,3.45 GB,3.70 GB,2.22 GB,3.43 GB,12.8 GB
2023-07-15 22:53:30,3.45 GB,3.70 GB,2.23 GB,3.44 GB,12.8 GB
2023-07-15 22:53:45,3.45 GB,3.69 GB,2.24 GB,3.43 GB,12.8 GB
2023-07-15 22:54:00,3.46 GB,3.69 GB,2.22 GB,3.43 GB,12.8 GB
2023-07-15 22:54:15,3.28 GB,3.44 GB,2.19 GB,3.43 GB,12.3 GB
2023-07-15 22:54:30,3.28 GB,3.46 GB,2.01 GB,3.20 GB,11.9 GB
2023-07-15 22:54:45,3.34 GB,3.58 GB,2.07 GB,3.26 GB,12.2 GB
2023-07-15 22:55:00,3.37 GB,3.59 GB,2.12 GB,3.34 GB,12.4 GB
2023-07-15 22:55:15,3.37 GB,3.62 GB,2.12 GB,3.36 GB,12.5 GB
2023-07-15 22:55:30,3.39 GB,3.65 GB,2.15 GB,3.36 GB,12.5 GB
2023-07-15 22:55:45,3.39 GB,3.67 GB,2.15 GB,3.36 GB,12.6 GB
2023-07-15 22:56:00,3.39 GB,3.69 GB,2.16 GB,3.37 GB,12.6 GB
2023-07-15 22:56:15,3.39 GB,3.68 GB,2.15 GB,3.37 GB,12.6 GB
2023-07-15 22:56:30,3.39 GB,3.68 GB,2.15 GB,3.37 GB,12.6 GB
2023-07-15 22:56:45,3.38 GB,3.69 GB,2.16 GB,3.36 GB,12.6 GB
2023-07-15 22:57:00,3.39 GB,3.68 GB,2.15 GB,3.37 GB,12.6 GB
2023-07-15 22:57:15,3.39 GB,3.68 GB,2.16 GB,3.36 GB,12.6 GB
2023-07-15 22:57:30,3.39 GB,3.67 GB,2.16 GB,3.36 GB,12.6 GB
2023-07-15 22:57:45,3.38 GB,3.69 GB,2.15 GB,3.37 GB,12.6 GB
2023-07-15 22:58:00,3.39 GB,3.68 GB,2.16 GB,3.37 GB,12.6 GB
2023-07-15 22:58:15,3.38 GB,3.69 GB,2.16 GB,3.38 GB,12.6 GB
2023-07-15 22:58:30,3.38 GB,3.69 GB,2.16 GB,3.37 GB,12.6 GB
2023-07-15 22:58:45,3.38 GB,3.69 GB,2.16 GB,3.36 GB,12.6 GB
2023-07-15 22:59:00,3.39 GB,3.69 GB,2.16 GB,3.36 GB,12.6 GB
2023-07-15 22:59:15,3.38 GB,3.69 GB,2.16 GB,3.36 GB,12.6 GB
2023-07-15 22:59:30,3.39 GB,3.68 GB,2.16 GB,3.36 GB,12.6 GB
2023-07-15 22:59:45,3.38 GB,3.68 GB,2.16 GB,3.36 GB,12.6 GB
2023-07-15 23:00:00,3.38 GB,3.68 GB,2.15 GB,3.36 GB,12.6 GB
2023-07-15 23:00:15,3.38 GB,3.68 GB,2.16 GB,3.36 GB,12.6 GB
2023-07-15 23:00:30,3.38 GB,3.68 GB,2.15 GB,3.37 GB,12.6 GB
2023-07-15 23:00:45,3.39 GB,3.68 GB,2.16 GB,3.37 GB,12.6 GB
2023-07-15 23:01:00,3.38 GB,3.68 GB,2.16 GB,3.36 GB,12.6 GB
2023-07-15 23:01:15,3.39 GB,3.68 GB,2.17 GB,3.36 GB,12.6 GB
2023-07-15 23:01:30,3.39 GB,3.68 GB,2.17 GB,3.37 GB,12.6 GB
2023-07-15 23:01:45,3.38 GB,3.68 GB,2.16 GB,3.35 GB,12.6 GB
2023-07-15 23:02:00,3.39 GB,3.68 GB,2.16 GB,3.35 GB,12.6 GB
2023-07-15 23:02:15,3.39 GB,3.68 GB,2.17 GB,3.35 GB,12.6 GB
2023-07-15 23:02:30,3.40 GB,3.68 GB,2.17 GB,3.35 GB,12.6 GB
2023-07-15 23:02:45,3.40 GB,3.68 GB,2.17 GB,3.35 GB,12.6 GB
2023-07-15 23:03:00,3.39 GB,3.69 GB,2.17 GB,3.36 GB,12.6 GB
2023-07-15 23:03:15,3.40 GB,3.68 GB,2.16 GB,3.36 GB,12.6 GB
2023-07-15 23:03:30,3.39 GB,3.67 GB,2.17 GB,3.36 GB,12.6 GB
2023-07-15 23:03:45,3.40 GB,3.68 GB,2.16 GB,3.36 GB,12.6 GB
2023-07-15 23:04:00,3.40 GB,3.68 GB,2.17 GB,3.36 GB,12.6 GB
2023-07-15 23:04:15,3.40 GB,3.68 GB,2.17 GB,3.36 GB,12.6 GB
2023-07-15 23:04:30,3.40 GB,3.68 GB,2.17 GB,3.37 GB,12.6 GB
2023-07-15 23:04:45,3.40 GB,3.68 GB,2.16 GB,3.36 GB,12.6 GB
2023-07-15 23:05:00,3.40 GB,3.68 GB,2.17 GB,3.36 GB,12.6 GB
2023-07-15 23:05:15,3.40 GB,3.68 GB,2.16 GB,3.36 GB,12.6 GB
2023-07-15 23:05:30,3.40 GB,3.69 GB,2.16 GB,3.37 GB,12.6 GB
2023-07-15 23:05:45,3.40 GB,3.68 GB,2.16 GB,3.36 GB,12.6 GB
2023-07-15 23:06:00,3.40 GB,3.69 GB,2.15 GB,3.36 GB,12.6 GB
2023-07-15 23:06:15,3.40 GB,3.68 GB,2.15 GB,3.36 GB,12.6 GB
2023-07-15 23:06:30,3.40 GB,3.69 GB,2.15 GB,3.36 GB,12.6 GB
2023-07-15 23:06:45,3.39 GB,3.68 GB,2.14 GB,3.35 GB,12.6 GB
2023-07-15 23:07:00,3.41 GB,3.68 GB,2.15 GB,3.37 GB,12.6 GB
2023-07-15 23:07:15,3.40 GB,3.68 GB,2.15 GB,3.36 GB,12.6 GB
2023-07-15 23:07:30,3.40 GB,3.68 GB,2.14 GB,3.37 GB,12.6 GB
2023-07-15 23:07:45,3.40 GB,3.68 GB,2.15 GB,3.36 GB,12.6 GB
2023-07-15 23:08:00,3.41 GB,3.68 GB,2.15 GB,3.36 GB,12.6 GB
2023-07-15 23:08:15,3.40 GB,3.69 GB,2.15 GB,3.36 GB,12.6 GB
2023-07-15 23:08:30,3.41 GB,3.68 GB,2.15 GB,3.36 GB,12.6 GB
2023-07-15 23:08:45,3.40 GB,3.68 GB,2.14 GB,3.36 GB,12.6 GB
2023-07-15 23:09:00,3.40 GB,3.68 GB,2.14 GB,3.36 GB,12.6 GB
2023-07-15 23:09:15,3.33 GB,3.38 GB,2.08 GB,3.36 GB,12.1 GB
2023-07-15 23:09:30,3.16 GB,3.37 GB,1.90 GB,3.11 GB,11.5 GB
2023-07-15 23:09:45,3.22 GB,3.45 GB,1.96 GB,3.15 GB,11.8 GB
2023-07-15 23:10:00,3.25 GB,3.47 GB,1.99 GB,3.21 GB,11.9 GB
2023-07-15 23:10:15,3.27 GB,3.50 GB,2.01 GB,3.23 GB,12.0 GB
2023-07-15 23:10:30,3.28 GB,3.51 GB,2.03 GB,3.24 GB,12.1 GB
2023-07-15 23:10:45,3.28 GB,3.52 GB,2.03 GB,3.24 GB,12.1 GB
2023-07-15 23:11:00,3.30 GB,3.53 GB,2.04 GB,3.25 GB,12.1 GB
2023-07-15 23:11:15,3.31 GB,3.54 GB,2.04 GB,3.24 GB,12.1 GB
2023-07-15 23:11:30,3.33 GB,3.56 GB,2.05 GB,3.24 GB,12.2 GB
2023-07-15 23:11:45,3.34 GB,3.58 GB,2.05 GB,3.26 GB,12.2 GB
2023-07-15 23:12:00,3.34 GB,3.59 GB,2.05 GB,3.27 GB,12.3 GB
2023-07-15 23:12:15,3.34 GB,3.60 GB,2.06 GB,3.27 GB,12.3 GB
2023-07-15 23:12:30,3.34 GB,3.60 GB,2.05 GB,3.29 GB,12.3 GB
2023-07-15 23:12:45,3.34 GB,3.57 GB,2.04 GB,3.29 GB,12.2 GB
2023-07-15 23:13:00,3.34 GB,3.57 GB,2.05 GB,3.27 GB,12.2 GB
2023-07-15 23:13:15,3.34 GB,3.57 GB,2.05 GB,3.27 GB,12.2 GB
2023-07-15 23:13:30,3.35 GB,3.57 GB,2.06 GB,3.27 GB,12.2 GB
2023-07-15 23:13:45,3.34 GB,3.56 GB,2.07 GB,3.27 GB,12.2 GB
2023-07-15 23:14:00,3.36 GB,3.58 GB,2.08 GB,3.27 GB,12.3 GB
2023-07-15 23:14:15,3.36 GB,3.57 GB,2.08 GB,3.27 GB,12.3 GB
2023-07-15 23:14:30,3.37 GB,3.57 GB,2.09 GB,3.26 GB,12.3 GB
2023-07-15 23:14:45,3.37 GB,3.58 GB,2.09 GB,3.27 GB,12.3 GB
2023-07-15 23:15:00,3.38 GB,3.57 GB,2.09 GB,3.26 GB,12.3 GB
2023-07-15 23:15:15,3.38 GB,3.58 GB,2.09 GB,3.26 GB,12.3 GB
2023-07-15 23:15:30,3.37 GB,3.58 GB,2.09 GB,3.26 GB,12.3 GB
2023-07-15 23:15:45,3.37 GB,3.57 GB,2.09 GB,3.26 GB,12.3 GB
2023-07-15 23:16:00,3.38 GB,3.57 GB,2.09 GB,3.25 GB,12.3 GB
2023-07-15 23:16:15,3.38 GB,3.58 GB,2.09 GB,3.26 GB,12.3 GB

